Original Molecule,Parsed Molecule,Link,Result Type,CAS,Deprecated CAS,Compound/Substance
POVIDONE-IODINE,POVIDONE-IODINE,https://pubchem.ncbi.nlm.nih.gov/compound/Povidone-Iodine,FEATURED,25655-41-8,"113813-78-8, 129947-86-0, 130095-86-2, 138115-12-5, 180749-13-7, 30849-75-3, 36703-90-9, 9006-37-5, 94555-99-4, 1202865-55-1, 1216458-36-4, 1219590-00-7, 1246654-78-3, 26856-09-7",COMPOUND
PRALATREXATE,PRALATREXATE,https://pubchem.ncbi.nlm.nih.gov/compound/148121,FEATURED,146464-95-1,,COMPOUND
PRALIDOXIME,PRALIDOXIME,https://pubchem.ncbi.nlm.nih.gov/compound/135398747,FEATURED,"6735-59-7, 45765-69-3, 25615-00-3",,COMPOUND
PRAMIPEXOLE,PRAMIPEXOLE,https://pubchem.ncbi.nlm.nih.gov/compound/119570,FEATURED,104632-26-0,,COMPOUND
PRAMLINTIDE,PRAMLINTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/70691388,FEATURED,151126-32-8,,COMPOUND
PRAMOCAINE,PRAMOCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/4886,FEATURED,140-65-8,,COMPOUND
PRASTERONE,PRASTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/5881,FEATURED,53-43-0,"9013-35-8, 105597-37-3, 108673-53-6",COMPOUND
PRASUGREL,PRASUGREL,https://pubchem.ncbi.nlm.nih.gov/compound/6918456,FEATURED,150322-43-3,,COMPOUND
PRAVASTATIN,PRAVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/54687,FEATURED,81093-37-0,103382-89-4,COMPOUND
PRAZIQUANTEL,PRAZIQUANTEL,https://pubchem.ncbi.nlm.nih.gov/compound/4891,FEATURED,55268-74-1,135526-78-2,COMPOUND
PRAZOSIN,PRAZOSIN,https://pubchem.ncbi.nlm.nih.gov/compound/4893,FEATURED,19216-56-9,,COMPOUND
PREDNICARBATE,PREDNICARBATE,https://pubchem.ncbi.nlm.nih.gov/compound/6714002,FEATURED,73771-04-7,,COMPOUND
PREDNISOLONE,PREDNISOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/5755,FEATURED,50-24-8,"58201-11-9, 8056-11-9, 58201-11-9",COMPOUND
PREDNISONE,PREDNISONE,https://pubchem.ncbi.nlm.nih.gov/compound/5865,FEATURED,53-03-2,68-59-7,COMPOUND
PREGABALIN,PREGABALIN,https://pubchem.ncbi.nlm.nih.gov/compound/5486971,FEATURED,148553-50-8,,COMPOUND
PREGNANCY_TESTS,PREGNANCY TESTS,https://pubmed.ncbi.nlm.nih.gov/36050632,RELEVANT,N/A,,N/A
PREGNENOLONE,PREGNENOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/8955,FEATURED,145-13-1,116907-59-6,COMPOUND
PREPARED_STORAX,PREPARED STORAX,https://pubmed.ncbi.nlm.nih.gov/37956814,RELEVANT,N/A,,N/A
PRILOCAINE,PRILOCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/4906,FEATURED,721-50-6,,COMPOUND
PRIMAQUINE,PRIMAQUINE,https://pubchem.ncbi.nlm.nih.gov/compound/4908,FEATURED,90-34-6,,COMPOUND
PRIMIDONE,PRIMIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/4909,FEATURED,125-33-7,,COMPOUND
PRIMULA_VERIS,PRIMULA VERIS,https://pubchem.ncbi.nlm.nih.gov/substance/483932694,RELEVANT,N/A,,SUBSTANCE
PROBENECID,PROBENECID,https://pubchem.ncbi.nlm.nih.gov/compound/4911,FEATURED,57-66-9,1384172-26-2,COMPOUND
PROBIOTICS,PROBIOTICS,https://pubchem.ncbi.nlm.nih.gov/substance/482028543,RELEVANT,N/A,,SUBSTANCE
PROCAINAMIDE,PROCAINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4913,FEATURED,51-06-9,,COMPOUND
PROCAINE,PROCAINE,https://pubchem.ncbi.nlm.nih.gov/compound/4914,FEATURED,59-46-1,91484-72-9,COMPOUND
PROCARBAZINE,PROCARBAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/4915,FEATURED,"671-16-9, 366-70-1",,COMPOUND
PROCHLORPERAZINE,PROCHLORPERAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/4917,FEATURED,58-38-8,,COMPOUND
PROCYCLIDINE,PROCYCLIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/4919,FEATURED,77-37-2,"56172-67-9, 107661-03-0",COMPOUND
PROFLAVINE,PROFLAVINE,https://pubchem.ncbi.nlm.nih.gov/compound/7099,FEATURED,"92-62-6, 1811-28-5",,COMPOUND
PROGESTERONE,PROGESTERONE,https://pubchem.ncbi.nlm.nih.gov/compound/5994,FEATURED,57-83-0,"8012-32-6, 8023-13-0, 753497-20-0, 257630-50-5, 2051138-40-8, 2051138-40-8, 257630-50-5, 753497-20-0, 8012-32-6, 8023-13-0, 8012-32-6, 753497-20-0, 2051138-40-8, 8023-13-0, 257630-50-5",COMPOUND
PROGUANIL,PROGUANIL,https://pubchem.ncbi.nlm.nih.gov/compound/6178111,FEATURED,500-92-5,46920-30-3,COMPOUND
PROLINE,PROLINE,https://pubchem.ncbi.nlm.nih.gov/compound/145742,FEATURED,"4305-67-3, 147-85-3, 37159-97-0","7005-20-1, 1150316-19-0, 95650-41-2, 18875-45-1, 4607-28-7, 1150316-19-0, 7005-20-1, 95650-41-2, 95650-41-2, 1150316-19-0",COMPOUND
PROMETHAZINE,PROMETHAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/4927,FEATURED,"60-87-7, 38878-40-9",73745-50-3,COMPOUND
PROPAFENONE,PROPAFENONE,https://pubchem.ncbi.nlm.nih.gov/compound/4932,FEATURED,54063-53-5,107300-59-4,COMPOUND
PROPANE,PROPANE,https://pubchem.ncbi.nlm.nih.gov/compound/6334,FEATURED,"74-98-6, 69430-33-7, 68475-59-2, 68920-07-0, 68476-49-3","68551-21-3, 68476-51-7",COMPOUND
PROPANTHELINE,PROPANTHELINE,https://pubchem.ncbi.nlm.nih.gov/compound/4934,FEATURED,298-50-0,,COMPOUND
PROPANTHELINE_HYDROXIDE,PROPANTHELINE HYDROXIDE,https://pubmed.ncbi.nlm.nih.gov/6326064,RELEVANT,N/A,,N/A
PROPIONIC_ACID,PROPIONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1032,FEATURED,"79-09-4, 68937-68-8, 68990-37-4","784139-72-6, 1032826-44-0, 1032826-44-0, 784139-72-6",COMPOUND
PROPOFOL,PROPOFOL,https://pubchem.ncbi.nlm.nih.gov/compound/4943,FEATURED,2078-54-8,"28449-97-0, 50356-15-5, 50356-15-5",COMPOUND
PROPOLIS,PROPOLIS,https://pubchem.ncbi.nlm.nih.gov/compound/702,RELEVANT,64-17-5,"121182-78-3, 8000-16-6, 8024-45-1, 8024-45-1, 8000-16-6",COMPOUND
PROPRANOLOL,PROPRANOLOL,https://pubchem.ncbi.nlm.nih.gov/compound/4946,FEATURED,"525-66-6, 13013-17-7",13013-17-7,COMPOUND
PROPYLENE_GLYCOL,PROPYLENE GLYCOL,https://pubchem.ncbi.nlm.nih.gov/compound/1030,FEATURED,"57-55-6, 25322-68-3, 63625-56-9","190913-75-8, 4254-16-4, 63625-56-9, 1194046-20-2, 1194046-20-2, 190913-75-8, 4254-16-4, 63625-56-9, 63625-56-9, 1194046-20-2, 190913-75-8",COMPOUND
PROPYLHEXEDRINE,PROPYLHEXEDRINE,https://pubchem.ncbi.nlm.nih.gov/compound/7558,FEATURED,"101-40-6, 3595-11-7",3595-11-7,COMPOUND
PROPYLPARABEN,PROPYLPARABEN,https://pubchem.ncbi.nlm.nih.gov/compound/7175,FEATURED,94-13-3,"59593-07-6, 58339-85-8, 58339-85-8, 59593-07-6, 58339-85-8",COMPOUND
PROPYLTHIOURACIL,PROPYLTHIOURACIL,https://pubchem.ncbi.nlm.nih.gov/compound/657298,FEATURED,51-52-5,500-50-5,COMPOUND
PROTAMINE,PROTAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/Protamine,FEATURED,9012-00-4,,COMPOUND
PROTEASE,PROTEASE,https://pubchem.ncbi.nlm.nih.gov/compound/5388962,RELEVANT,75847-73-3,"172964-46-4, 77549-58-7",COMPOUND
PROTEASE_(PLANT_ORIGIN),PROTEASE (PLANT ORIGIN),https://pubchem.ncbi.nlm.nih.gov/bioassay/1878348,RELEVANT,N/A,,N/A
PROTEINS,PROTEINS,https://pubchem.ncbi.nlm.nih.gov/source/25830,FEATURED,N/A,,N/A
PROTEIN_C,PROTEIN C,https://pubchem.ncbi.nlm.nih.gov/compound/Protein%20C,FEATURED,"60202-16-6, 925910-74-3",,COMPOUND
PROTEIN_S,PROTEIN S,https://pubchem.ncbi.nlm.nih.gov/compound/5143,RELEVANT,81-07-2,"126987-83-5, 474-91-9, 61255-27-4, 890126-34-8, 61255-27-4, 126987-83-5, 474-91-9, 890126-34-8",COMPOUND
PROTEIN_TESTS,PROTEIN TESTS,https://pubchem.ncbi.nlm.nih.gov/compound/5780,RELEVANT,"50-70-4, 69-65-8, 98201-93-5","15060-73-8, 36134-87-9, 3959-53-3, 63800-20-4, 75398-79-7, 8013-15-8, 8014-89-9, 8036-93-9, 8042-39-5, 8045-74-7, 8046-05-7, 98201-93-5, 952319-42-5, 15060-73-8, 36134-87-9, 3959-53-3, 63800-20-4, 75398-79-7, 8013-15-8, 8014-89-9, 8036-93-9, 8042-39-5, 8045-74-7, 8046-05-7, 952319-42-5, 98201-93-5, 952319-42-5, 3959-53-3, 63800-20-4, 8036-93-9, 98201-93-5, 15060-73-8, 8042-39-5, 8014-89-9, 36134-87-9, 8046-05-7, 8013-15-8, 8045-74-7",COMPOUND
PROTHROMBIN,PROTHROMBIN,https://pubchem.ncbi.nlm.nih.gov/compound/196366,RELEVANT,103658-53-3,,COMPOUND
PROTIRELIN,PROTIRELIN,https://pubchem.ncbi.nlm.nih.gov/compound/638678,FEATURED,"24305-27-9, 11096-37-0, 117217-40-0","9015-91-2, 22365-02-2, 22365-17-9, 77666-61-6, 39422-15-6, 51810-71-0",COMPOUND
PROTRIPTYLINE,PROTRIPTYLINE,https://pubchem.ncbi.nlm.nih.gov/compound/4976,FEATURED,438-60-8,,COMPOUND
PROXYMETACAINE,PROXYMETACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/4935,FEATURED,499-67-2,,COMPOUND
PRUCALOPRIDE,PRUCALOPRIDE,https://pubchem.ncbi.nlm.nih.gov/compound/3052762,FEATURED,179474-81-8,,COMPOUND
PRUNUS_AMYGDALUS_(AMARA),PRUNUS AMYGDALUS (AMARA),https://pubchem.ncbi.nlm.nih.gov/substance/481179503,RELEVANT,N/A,,SUBSTANCE
PRUNUS_AMYGDALUS_(DULCIS),PRUNUS AMYGDALUS (DULCIS),https://pubchem.ncbi.nlm.nih.gov/substance/481187047,RELEVANT,N/A,,SUBSTANCE
PRUNUS_DOMESTICA,PRUNUS DOMESTICA,https://pubchem.ncbi.nlm.nih.gov/substance/482023198,RELEVANT,N/A,,SUBSTANCE
PRUNUS_LAUROCERASUS,PRUNUS LAUROCERASUS,https://pubchem.ncbi.nlm.nih.gov/substance/482023051,RELEVANT,N/A,,SUBSTANCE
PSEUDOEPHEDRINE,PSEUDOEPHEDRINE,https://pubchem.ncbi.nlm.nih.gov/compound/7028,FEATURED,90-82-4,"304-87-0, 30987-59-8, 37577-31-4, 30987-59-8, 37577-31-4",COMPOUND
PSEUDOGNAPHALIUM_OBTUSIFOLIUM,PSEUDOGNAPHALIUM OBTUSIFOLIUM,https://pubchem.ncbi.nlm.nih.gov/substance/483932324,RELEVANT,N/A,,SUBSTANCE
PSIDIUM_GUAJAVA,PSIDIUM GUAJAVA,https://pubchem.ncbi.nlm.nih.gov/substance/482023271,RELEVANT,N/A,,SUBSTANCE
PTYCHOPETALUM_OLACOIDES,PTYCHOPETALUM OLACOIDES,https://pubchem.ncbi.nlm.nih.gov/compound/Ptychopetalum%20olacoides%20whole,FEATURED,N/A,,COMPOUND
PUERARIA,PUERARIA,https://pubchem.ncbi.nlm.nih.gov/compound/5748205,RELEVANT,117060-54-5,,COMPOUND
PULSATILLA_PRATENSIS,PULSATILLA PRATENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/483929241,RELEVANT,N/A,,SUBSTANCE
PUMICE,PUMICE,https://pubchem.ncbi.nlm.nih.gov/compound/Pumice,FEATURED,1332-09-8,1202805-03-5,COMPOUND
PUNICA_GRANATUM,PUNICA GRANATUM,https://pubchem.ncbi.nlm.nih.gov/substance/483932684,RELEVANT,N/A,,SUBSTANCE
PURGATIVE/LAXATIVE,PURGATIVE/LAXATIVE,https://pubmed.ncbi.nlm.nih.gov/32337785,RELEVANT,N/A,,N/A
PYGEUM_AFRICANUM,PYGEUM AFRICANUM,https://pubchem.ncbi.nlm.nih.gov/compound/Pygeum,FEATURED,"85865-74-3, 94279-95-5",,COMPOUND
PYRANTEL,PYRANTEL,https://pubchem.ncbi.nlm.nih.gov/compound/708857,FEATURED,15686-83-6,,COMPOUND
PYRAZINAMIDE,PYRAZINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/1046,FEATURED,98-96-4,,COMPOUND
PYRETHRINS,PYRETHRINS,https://pubchem.ncbi.nlm.nih.gov/compound/71310221,FEATURED,8003-34-7,,COMPOUND
PYRIDOSTIGMINE,PYRIDOSTIGMINE,https://pubchem.ncbi.nlm.nih.gov/compound/4991,FEATURED,155-97-5,,COMPOUND
PYRIDOXAL,PYRIDOXAL,https://pubchem.ncbi.nlm.nih.gov/compound/1050,FEATURED,66-72-8,17281-92-4,COMPOUND
PYRIDOXAL_5-PHOSPHATE,PYRIDOXAL 5 PHOSPHATE,https://pubchem.ncbi.nlm.nih.gov/compound/1051,RELEVANT,54-47-7,"52064-48-9, 52441-27-7, 1071665-72-9, 1071665-72-9, 52064-48-9, 52441-27-7, 52441-27-7",COMPOUND
PYRIDOXINE,PYRIDOXINE,https://pubchem.ncbi.nlm.nih.gov/compound/1054,FEATURED,65-23-6,2087491-32-3,COMPOUND
PYRIMETHAMINE,PYRIMETHAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/4993,FEATURED,58-14-0,,COMPOUND
PYRITHIONE_ZINC,PYRITHIONE ZINC,https://pubchem.ncbi.nlm.nih.gov/compound/26041,FEATURED,13463-41-7,,COMPOUND
PYROXYLIN,PYROXYLIN,https://pubchem.ncbi.nlm.nih.gov/compound/Pyroxylin,FEATURED,9004-70-0,"124362-83-0, 1339-76-0, 152264-12-5, 188626-79-1, 37228-31-2, 37317-48-9, 60649-57-2, 72026-64-3, 72026-68-7, 8050-69-9, 8050-70-2, 88386-25-8, 246848-29-3, 353274-56-3, 909342-54-7, 2001537-63-7, 2166122-28-5, 2245235-30-5, 2245235-31-6, 2414146-27-1, 2704570-50-1, 1339-76-0, 246848-29-3, 2001537-63-7, 72026-68-7, 60649-57-2, 37317-48-9, 8050-69-9, 152264-12-5, 88386-25-8, 909342-54-7, 188626-79-1, 72026-64-3, 124362-83-0, 8050-70-2, 353274-56-3",COMPOUND
PYRUVIC_ACID,PYRUVIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1060,FEATURED,127-17-3,1892-67-7,COMPOUND
QUAZEPAM,QUAZEPAM,https://pubchem.ncbi.nlm.nih.gov/compound/4999,FEATURED,36735-22-5,,COMPOUND
QUERCETIN,QUERCETIN,https://pubchem.ncbi.nlm.nih.gov/compound/5280343,FEATURED,117-39-5,"73123-10-1, 74893-81-5, 74893-81-5, 73123-10-1",COMPOUND
QUERCUS_ALBA,QUERCUS ALBA,https://pubchem.ncbi.nlm.nih.gov/compound/Quercus%20alba%20pollen,FEATURED,N/A,,COMPOUND
QUERCUS_ROBUR,QUERCUS ROBUR,https://pubchem.ncbi.nlm.nih.gov/compound/Quercus%20robur%20flower,FEATURED,N/A,,COMPOUND
QUETIAPINE,QUETIAPINE,https://pubchem.ncbi.nlm.nih.gov/compound/5002,FEATURED,111974-69-7,,COMPOUND
QUINAPRIL,QUINAPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/54892,FEATURED,85441-61-8,,COMPOUND
QUINIDINE,QUINIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/441074,FEATURED,56-54-2,"11010-73-4, 500225-45-6, 845886-64-8, 882741-47-1, 883881-01-4, 898814-00-1, 910899-51-3, 1528764-92-2, 2393956-08-4, 11010-73-4, 1528764-92-2, 2393956-08-4, 500225-45-6, 845886-64-8, 882741-47-1, 883881-01-4, 898814-00-1, 910899-51-3, 1528764-92-2, 500225-45-6, 883881-01-4, 910899-51-3, 882741-47-1, 845886-64-8, 11010-73-4",COMPOUND
QUININE,QUININE,https://pubchem.ncbi.nlm.nih.gov/compound/3034034,FEATURED,"72402-53-0, 130-95-0, 1407-83-6","12239-42-8, 128544-03-6, 21480-31-9, 55980-20-6, 6912-57-8, 72646-90-3, 767303-40-2, 840482-04-4, 857212-53-4, 864908-93-0, 899813-83-3, 906550-97-8, 909767-48-2, 909882-78-6, 910878-25-0, 875538-34-4, 888714-03-2, 890027-24-4, 894767-09-0, 898813-59-7, 898814-28-3, 900786-66-5, 900789-95-9, 909263-47-4, 910880-97-6, 911445-75-5, 918778-04-8, 1071756-51-8, 95650-40-1, 1267651-57-9, 1628705-47-4, 2244812-93-7, 2244812-97-1, 2409557-51-1, 2566761-34-8, 1071756-51-8, 12239-42-8, 1267651-57-9, 128544-03-6, 1628705-47-4, 21480-31-9, 2244812-93-7, 2244812-97-1, 2409557-51-1, 2566761-34-8, 55980-20-6, 6912-57-8, 72646-90-3, 767303-40-2, 840482-04-4, 857212-53-4, 864908-93-0, 875538-34-4, 888714-03-2, 890027-24-4, 894767-09-0, 898813-59-7, 898814-28-3, 899813-83-3, 900786-66-5, 900789-95-9, 906550-97-8, 909263-47-4, 909767-48-2, 909882-78-6, 910878-25-0, 910880-97-6, 911445-75-5, 918778-04-8, 95650-40-1, 1071756-51-8, 909882-78-6, 55980-20-6, 1628705-47-4, 1267651-57-9, 767303-40-2, 898813-59-7, 840482-04-4, 900789-95-9, 909263-47-4, 899813-83-3, 875538-34-4, 900786-66-5, 6912-57-8, 21480-31-9, 906550-97-8, 894767-09-0, 918778-04-8, 888714-03-2, 95650-40-1, 909767-48-2, 864908-93-0, 12239-42-8, 128544-03-6, 910878-25-0, 857212-53-4, 898814-28-3, 890027-24-4, 911445-75-5, 910880-97-6",COMPOUND
QUINUPRISTIN,QUINUPRISTIN,https://pubchem.ncbi.nlm.nih.gov/compound/5388937,FEATURED,120138-50-3,"176708-57-9, 143564-20-9, 143840-51-1",COMPOUND
RABEPRAZOLE,RABEPRAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/5029,FEATURED,117976-89-3,909251-57-6,COMPOUND
RACEPHEDRINE,RACEPHEDRINE,https://pubchem.ncbi.nlm.nih.gov/compound/5032,FEATURED,"53214-57-6, 299-42-3",,COMPOUND
RACEPINEFRINE,RACEPINEFRINE,https://pubchem.ncbi.nlm.nih.gov/compound/838,FEATURED,329-65-7,"6912-68-1, 8059-19-6, 8060-13-7",COMPOUND
RADIUM_RA-223,RADIUM RA-223,https://pubchem.ncbi.nlm.nih.gov/compound/6335825,FEATURED,15623-45-7,,COMPOUND
RALOXIFENE,RALOXIFENE,https://pubchem.ncbi.nlm.nih.gov/compound/5035,FEATURED,84449-90-1,,COMPOUND
RALTEGRAVIR,RALTEGRAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/54671008,FEATURED,518048-05-0,,COMPOUND
RAMELTEON,RAMELTEON,https://pubchem.ncbi.nlm.nih.gov/compound/208902,FEATURED,196597-26-9,,COMPOUND
RAMIPRIL,RAMIPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/5362129,FEATURED,87333-19-5,126613-39-6,COMPOUND
RAMUCIRUMAB,RAMUCIRUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Ramucirumab,FEATURED,947687-13-0,,COMPOUND
RANIBIZUMAB,RANIBIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Ranibizumab,FEATURED,347396-82-1,,COMPOUND
RANITIDINE,RANITIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/3001055,FEATURED,"82530-72-1, 66357-35-5",,COMPOUND
RANITIDINE_BISMUTH_CITRATE,RANITIDINE BISMUTH CITRATE,https://pubchem.ncbi.nlm.nih.gov/compound/62984,FEATURED,128345-62-0,,COMPOUND
RANOLAZINE,RANOLAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/56959,FEATURED,"95635-55-5, 142387-99-3",142387-99-3,COMPOUND
RANUNCULUS_BULBOSUS,RANUNCULUS BULBOSUS,https://pubchem.ncbi.nlm.nih.gov/compound/Ranunculus%20Bulbosus,FEATURED,90106-07-3,,COMPOUND
RAPACURONIUM,RAPACURONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5311399,FEATURED,465499-11-0,,COMPOUND
RAPHANUS_SATIVUS,RAPHANUS SATIVUS,https://pubchem.ncbi.nlm.nih.gov/compound/Raphanus%20Sativus,FEATURED,N/A,,COMPOUND
RASAGILINE,RASAGILINE,https://pubchem.ncbi.nlm.nih.gov/compound/3052776,FEATURED,136236-51-6,,COMPOUND
RASBURICASE,RASBURICASE,https://pubchem.ncbi.nlm.nih.gov/compound/Rasburicase,FEATURED,134774-45-1,352311-12-7,COMPOUND
RAUWOLFIA_SERPENTINA,RAUWOLFIA SERPENTINA,https://pubchem.ncbi.nlm.nih.gov/compound/Rauwolfia%20Serpentina,FEATURED,8063-17-0,,COMPOUND
RAVULIZUMAB,RAVULIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Ravulizumab,FEATURED,1803171-55-2,,COMPOUND
REGADENOSON,REGADENOSON,https://pubchem.ncbi.nlm.nih.gov/compound/219024,FEATURED,313348-27-5,,COMPOUND
REGORAFENIB,REGORAFENIB,https://pubchem.ncbi.nlm.nih.gov/compound/11167602,FEATURED,"755037-03-7, 1019206-88-2",,COMPOUND
REMIFENTANIL,REMIFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/60815,FEATURED,132875-61-7,,COMPOUND
RENNIN,RENNIN,https://pubchem.ncbi.nlm.nih.gov/compound/115709,FEATURED,9001-98-3,,COMPOUND
REPAGLINIDE,REPAGLINIDE,https://pubchem.ncbi.nlm.nih.gov/compound/65981,FEATURED,135062-02-1,,COMPOUND
RESERPINE,RESERPINE,https://pubchem.ncbi.nlm.nih.gov/compound/5770,FEATURED,50-55-5,"1407-38-1, 141099-49-2, 8048-25-7, 873409-80-4, 909883-12-1, 911481-85-1, 8048-25-7, 141099-49-2",COMPOUND
RESLIZUMAB,RESLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/compound/Reslizumab,FEATURED,241473-69-8,339087-64-8,COMPOUND
RESORCINOL,RESORCINOL,https://pubchem.ncbi.nlm.nih.gov/compound/5054,FEATURED,108-46-3,,COMPOUND
RESORCINOL_ACETATE,RESORCINOL ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/5055,FEATURED,102-29-4,,COMPOUND
RESVERATROL,RESVERATROL,https://pubchem.ncbi.nlm.nih.gov/compound/445154,FEATURED,501-36-0,,COMPOUND
RETAPAMULIN,RETAPAMULIN,https://pubchem.ncbi.nlm.nih.gov/compound/Retapamulin,FEATURED,224452-66-8,345632-67-9,COMPOUND
RETEPLASE,RETEPLASE,https://pubchem.ncbi.nlm.nih.gov/compound/Reteplase,FEATURED,133652-38-7,,COMPOUND
RETIGABINE,RETIGABINE,https://pubchem.ncbi.nlm.nih.gov/compound/121892,FEATURED,150812-12-7,,COMPOUND
RETINOL,RETINOL,https://pubchem.ncbi.nlm.nih.gov/compound/445354,FEATURED,"11103-57-4, 68-26-8","13123-33-6, 17104-91-5, 5979-23-7, 1341-18-0, 1406-67-3, 53637-36-8, 13123-33-6, 17104-91-5, 2820400-21-1, 5979-23-7, 5979-23-7, 13123-33-6",COMPOUND
REVEFENACIN,REVEFENACIN,https://pubchem.ncbi.nlm.nih.gov/compound/11753673,FEATURED,"864750-70-9, 1211931-83-7",1211931-83-7,COMPOUND
RHAMNUS_CALIFORNICA,RHAMNUS CALIFORNICA,https://pubchem.ncbi.nlm.nih.gov/compound/Frangula%20californica%20bark,FEATURED,N/A,,COMPOUND
RHAMNUS_CATHARTICUS,RHAMNUS CATHARTICUS,https://pubmed.ncbi.nlm.nih.gov/21941897,RELEVANT,N/A,,N/A
RHAMNUS_PURSHIANA,RHAMNUS PURSHIANA,https://pubchem.ncbi.nlm.nih.gov/compound/437987,RELEVANT,N/A,,COMPOUND
RHEUM_OFFICINALE,RHEUM OFFICINALE,https://pubchem.ncbi.nlm.nih.gov/substance/482023213,RELEVANT,N/A,,SUBSTANCE
RHODIOLA_ROSEA,RHODIOLA ROSEA,https://pubchem.ncbi.nlm.nih.gov/compound/10393,RELEVANT,501-94-0,,COMPOUND
RIBAVIRIN,RIBAVIRIN,https://pubchem.ncbi.nlm.nih.gov/compound/37542,FEATURED,36791-04-5,"66510-90-5, 437710-49-1",COMPOUND
RIBES_NIGRUM,RIBES NIGRUM,https://pubchem.ncbi.nlm.nih.gov/substance/482022628,RELEVANT,N/A,,SUBSTANCE
RIBOCICLIB,RIBOCICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/44631912,FEATURED,1211441-98-3,,COMPOUND
RIBOFLAVIN,RIBOFLAVIN,https://pubchem.ncbi.nlm.nih.gov/compound/493570,FEATURED,83-88-5,"130609-39-1, 535950-32-4, 890044-91-4, 1093390-18-1, 1093390-18-1, 130609-39-1, 535950-32-4, 890044-91-4, 890044-91-4, 130609-39-1, 535950-32-4",COMPOUND
RIBOSE,RIBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/10975657,FEATURED,"10257-32-6, 50-69-1",,COMPOUND
RICINOLEIC_ACID,RICINOLEIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/643684,FEATURED,141-22-0,"17026-54-9, 25607-48-1, 45260-83-1, 8040-35-5, 2226968-94-9, 2408423-15-2, 17026-54-9, 2226968-94-9, 2408423-15-2, 25607-48-1, 45260-83-1, 8040-35-5, 45260-83-1, 17026-54-9, 8040-35-5",COMPOUND
RICINUS_COMMUNIS,RICINUS COMMUNIS,https://pubchem.ncbi.nlm.nih.gov/substance/482022650,RELEVANT,N/A,,SUBSTANCE
RIFABUTIN,RIFABUTIN,https://pubchem.ncbi.nlm.nih.gov/compound/Rifabutin,FEATURED,72559-06-9,,COMPOUND
RIFAMPICIN,RIFAMPICIN,https://pubchem.ncbi.nlm.nih.gov/compound/135398735,FEATURED,13292-46-1,845504-52-1,COMPOUND
RIFAPENTINE,RIFAPENTINE,https://pubchem.ncbi.nlm.nih.gov/compound/135403821,FEATURED,61379-65-5,"71950-35-1, 773848-08-1",COMPOUND
RIFAXIMIN,RIFAXIMIN,https://pubchem.ncbi.nlm.nih.gov/compound/6436173,FEATURED,80621-81-4,88747-56-2,COMPOUND
RILONACEPT,RILONACEPT,https://pubchem.ncbi.nlm.nih.gov/compound/Rilonacept,FEATURED,501081-76-1,,COMPOUND
RILPIVIRINE,RILPIVIRINE,https://pubchem.ncbi.nlm.nih.gov/compound/6451164,FEATURED,500287-72-9,,COMPOUND
RILUZOLE,RILUZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/5070,FEATURED,1744-22-5,,COMPOUND
RIMANTADINE,RIMANTADINE,https://pubchem.ncbi.nlm.nih.gov/compound/5071,FEATURED,"13392-28-4, 117857-51-9",,COMPOUND
RIMEXOLONE,RIMEXOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311412,FEATURED,49697-38-3,,COMPOUND
