Original Molecule,Parsed Molecule,Best Match Link,CAS,Deprecated CAS,Compound/Substance
RAMIPRIL,RAMIPRIL,https://pubchem.ncbi.nlm.nih.gov/compound/1140,108-88-3,"1053657-77-4, 1202864-97-8, 1202864-97-8, 1053657-77-4",compound
RAMUCIRUMAB,RAMUCIRUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469690935,,,substance
RANIBIZUMAB,RANIBIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101819,,,substance
RANITIDINE,RANITIDINE,https://pubchem.ncbi.nlm.nih.gov/compound/3001055,82530-72-1,,compound
RANITIDINE_BISMUTH_CITRATE,RANITIDINE BISMUTH CITRATE,https://pubchem.ncbi.nlm.nih.gov/compound/62984,128345-62-0,,compound
RANOLAZINE,RANOLAZINE,https://pubchem.ncbi.nlm.nih.gov/compound/3516,93-14-1,"12041-73-5, 128707-44-8, 1336-67-0, 12041-73-5, 128707-44-8",compound
RANUNCULUS_BULBOSUS,RANUNCULUS BULBOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/483934461,,,substance
RAPACURONIUM,RAPACURONIUM,https://pubchem.ncbi.nlm.nih.gov/compound/5311398,156137-99-4,,compound
RAPHANUS_SATIVUS,RAPHANUS SATIVUS,https://pubchem.ncbi.nlm.nih.gov/substance/482022958,,,substance
RASAGILINE,RASAGILINE,https://pubchem.ncbi.nlm.nih.gov/compound/3052776,136236-51-6,,compound
RASBURICASE,RASBURICASE,https://pubchem.ncbi.nlm.nih.gov/substance/440790918,,,substance
RAUWOLFIA_SERPENTINA,RAUWOLFIA SERPENTINA,https://pubchem.ncbi.nlm.nih.gov/compound/5770,50-55-5,"1407-38-1, 141099-49-2, 8048-25-7, 873409-80-4, 909883-12-1, 911481-85-1, 8048-25-7, 141099-49-2",compound
RAVULIZUMAB,RAVULIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/483928739,,,substance
REGADENOSON,REGADENOSON,https://pubchem.ncbi.nlm.nih.gov/compound/219024,313348-27-5,,compound
REGORAFENIB,REGORAFENIB,https://pubchem.ncbi.nlm.nih.gov/compound/11167602,755037-03-7,,compound
REMIFENTANIL,REMIFENTANIL,https://pubchem.ncbi.nlm.nih.gov/compound/60815,132875-61-7,,compound
RENNIN,RENNIN,https://pubchem.ncbi.nlm.nih.gov/compound/115709,9001-98-3,,compound
REPAGLINIDE,REPAGLINIDE,https://pubchem.ncbi.nlm.nih.gov/compound/65981,135062-02-1,,compound
RESERPINE,RESERPINE,https://pubchem.ncbi.nlm.nih.gov/compound/5770,50-55-5,"1407-38-1, 141099-49-2, 8048-25-7, 873409-80-4, 909883-12-1, 911481-85-1, 8048-25-7, 141099-49-2",compound
RESLIZUMAB,RESLIZUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101824,,,substance
RESORCINOL,RESORCINOL,https://pubchem.ncbi.nlm.nih.gov/compound/5054,108-46-3,,compound
RESORCINOL_ACETATE,RESORCINOL ACETATE,https://pubchem.ncbi.nlm.nih.gov/compound/5055,102-29-4,,compound
RESVERATROL,RESVERATROL,https://pubchem.ncbi.nlm.nih.gov/compound/445154,501-36-0,,compound
RETAPAMULIN,RETAPAMULIN,https://pubchem.ncbi.nlm.nih.gov/compound/6918462,224452-66-8,345632-67-9,compound
RETEPLASE,RETEPLASE,https://pubchem.ncbi.nlm.nih.gov/substance/440790921,,,substance
RETIGABINE,RETIGABINE,https://pubchem.ncbi.nlm.nih.gov/compound/121892,150812-12-7,,compound
RETINOL,RETINOL,https://pubchem.ncbi.nlm.nih.gov/compound/445354,11103-57-4,"13123-33-6, 17104-91-5, 5979-23-7, 1341-18-0, 1406-67-3, 53637-36-8, 13123-33-6, 17104-91-5, 2820400-21-1, 5979-23-7, 5979-23-7, 13123-33-6",compound
REVEFENACIN,REVEFENACIN,https://pubchem.ncbi.nlm.nih.gov/compound/11753673,864750-70-9,1211931-83-7,compound
RHAMNUS_CALIFORNICA,RHAMNUS CALIFORNICA,https://pubchem.ncbi.nlm.nih.gov/substance/482033496,,,substance
RHAMNUS_CATHARTICUS,RHAMNUS CATHARTICUS,https://pubmed.ncbi.nlm.nih.gov/21941897,,,MISSING
RHAMNUS_PURSHIANA,RHAMNUS PURSHIANA,https://pubchem.ncbi.nlm.nih.gov/compound/437987,,,compound
RHEUM_OFFICINALE,RHEUM OFFICINALE,https://pubchem.ncbi.nlm.nih.gov/substance/482023213,,,substance
RHODIOLA_ROSEA,RHODIOLA ROSEA,https://pubchem.ncbi.nlm.nih.gov/compound/10393,501-94-0,,compound
RIBAVIRIN,RIBAVIRIN,https://pubchem.ncbi.nlm.nih.gov/compound/3520,113-00-8,"475470-57-6, 113978-93-1, 113978-92-0, 152252-01-2, 117365-55-6",compound
RIBES_NIGRUM,RIBES NIGRUM,https://pubchem.ncbi.nlm.nih.gov/substance/482022628,,,substance
RIBOCICLIB,RIBOCICLIB,https://pubchem.ncbi.nlm.nih.gov/compound/44631912,1211441-98-3,,compound
RIBOFLAVIN,RIBOFLAVIN,https://pubchem.ncbi.nlm.nih.gov/compound/493570,83-88-5,"130609-39-1, 535950-32-4, 890044-91-4, 1093390-18-1, 1093390-18-1, 130609-39-1, 535950-32-4, 890044-91-4, 890044-91-4, 130609-39-1, 535950-32-4",compound
RIBOSE,RIBOSE,https://pubchem.ncbi.nlm.nih.gov/compound/854,9000-69-5,"133-56-2, 141492-19-5, 20235-19-2, 220424-61-3, 503591-24-0, 9005-88-3, 9046-41-7, 9047-18-1",compound
RICINOLEIC_ACID,RICINOLEIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/643684,141-22-0,"17026-54-9, 25607-48-1, 45260-83-1, 8040-35-5, 2226968-94-9, 2408423-15-2, 17026-54-9, 2226968-94-9, 2408423-15-2, 25607-48-1, 45260-83-1, 8040-35-5, 45260-83-1, 17026-54-9, 8040-35-5",compound
RICINUS_COMMUNIS,RICINUS COMMUNIS,https://pubchem.ncbi.nlm.nih.gov/substance/482022650,,,substance
RIFABUTIN,RIFABUTIN,https://pubchem.ncbi.nlm.nih.gov/compound/135398743,72559-06-9,,compound
RIFAMPICIN,RIFAMPICIN,https://pubchem.ncbi.nlm.nih.gov/compound/135398735,13292-46-1,845504-52-1,compound
RIFAPENTINE,RIFAPENTINE,https://pubchem.ncbi.nlm.nih.gov/compound/135403821,61379-65-5,"71950-35-1, 773848-08-1",compound
RIFAXIMIN,RIFAXIMIN,https://pubchem.ncbi.nlm.nih.gov/compound/6436173,80621-81-4,88747-56-2,compound
RILONACEPT,RILONACEPT,https://pubchem.ncbi.nlm.nih.gov/substance/440790923,,,substance
RILPIVIRINE,RILPIVIRINE,https://pubchem.ncbi.nlm.nih.gov/compound/6451164,500287-72-9,,compound
RILUZOLE,RILUZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/5070,1744-22-5,,compound
RIMANTADINE,RIMANTADINE,,,,MISSING
RIMEXOLONE,RIMEXOLONE,https://pubchem.ncbi.nlm.nih.gov/compound/5311412,49697-38-3,,compound
RIOCIGUAT,RIOCIGUAT,https://pubchem.ncbi.nlm.nih.gov/compound/11304743,625115-55-1,,compound
RISEDRONIC_ACID,RISEDRONIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/5245,105462-24-6,,compound
RISPERIDONE,RISPERIDONE,https://pubchem.ncbi.nlm.nih.gov/compound/5073,106266-06-2,,compound
RITODRINE,RITODRINE,https://pubchem.ncbi.nlm.nih.gov/compound/3040551,23239-51-2,,compound
RITONAVIR,RITONAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/392622,155213-67-5,,compound
RITUXIMAB,RITUXIMAB,https://pubchem.ncbi.nlm.nih.gov/compound/24801581,,,compound
RIVAROXABAN,RIVAROXABAN,https://pubchem.ncbi.nlm.nih.gov/compound/9875401,366789-02-8,,compound
RIVASTIGMINE,RIVASTIGMINE,https://pubchem.ncbi.nlm.nih.gov/compound/77991,123441-03-2,,compound
RIZATRIPTAN,RIZATRIPTAN,https://pubchem.ncbi.nlm.nih.gov/compound/5078,144034-80-0,,compound
ROCURONIUM_BROMIDE,ROCURONIUM BROMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/441351,119302-91-9,,compound
ROFECOXIB,ROFECOXIB,https://pubchem.ncbi.nlm.nih.gov/compound/5090,162011-90-7,186912-82-3,compound
ROFLUMILAST,ROFLUMILAST,https://pubchem.ncbi.nlm.nih.gov/compound/449193,162401-32-3,,compound
ROLAPITANT,ROLAPITANT,https://pubchem.ncbi.nlm.nih.gov/compound/10311306,552292-08-7,,compound
ROMIDEPSIN,ROMIDEPSIN,https://pubchem.ncbi.nlm.nih.gov/compound/5352062,128517-07-7,,compound
ROMIPLOSTIM,ROMIPLOSTIM,https://pubchem.ncbi.nlm.nih.gov/substance/440790928,,,substance
ROPINIROLE,ROPINIROLE,https://pubchem.ncbi.nlm.nih.gov/compound/5095,91374-21-9,,compound
ROPIVACAINE,ROPIVACAINE,https://pubchem.ncbi.nlm.nih.gov/compound/175805,84057-95-4,,compound
ROSANILINE,ROSANILINE,https://pubchem.ncbi.nlm.nih.gov/compound/11057,548-62-9,"23355-47-7, 7077-31-8, 7077-31-8",compound
ROSA_CANINA,ROSA CANINA,https://pubchem.ncbi.nlm.nih.gov/substance/483934525,,,substance
ROSE_BENGAL,ROSE BENGAL,https://pubchem.ncbi.nlm.nih.gov/compound/25474,11121-48-5,,compound
ROSIGLITAZONE,ROSIGLITAZONE,,,,MISSING
ROSMARINUS_OFFICINALIS,ROSMARINUS OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/65126,3650-09-7,,compound
ROSUVASTATIN,ROSUVASTATIN,https://pubchem.ncbi.nlm.nih.gov/compound/446157,287714-41-4,1354641-86-3,compound
ROTIGOTINE,ROTIGOTINE,https://pubchem.ncbi.nlm.nih.gov/compound/59227,99755-59-6,,compound
ROYAL_JELLY,ROYAL JELLY,https://pubchem.ncbi.nlm.nih.gov/compound/702,64-17-5,"121182-78-3, 8000-16-6, 8024-45-1, 8024-45-1, 8000-16-6",compound
RUBUS_FRUTICOSUS,RUBUS FRUTICOSUS,https://pubchem.ncbi.nlm.nih.gov/substance/483932788,,,substance
RUBUS_IDAEUS,RUBUS IDAEUS,https://pubchem.ncbi.nlm.nih.gov/substance/441077340,,,substance
RUCAPARIB,RUCAPARIB,https://pubchem.ncbi.nlm.nih.gov/compound/9931954,283173-50-2,,compound
RUFINAMIDE,RUFINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/129228,106308-44-5,,compound
RUMEX_ACETOSA,RUMEX ACETOSA,https://pubchem.ncbi.nlm.nih.gov/substance/482022876,,,substance
RUMEX_CRISPUS,RUMEX CRISPUS,https://pubchem.ncbi.nlm.nih.gov/substance/441077341,,,substance
RURIOCTOCOG_ALFA_PEGOL,RURIOCTOCOG ALFA PEGOL,https://pubchem.ncbi.nlm.nih.gov/compound/86278357,1417412-83-9,,compound
RUTA_GRAVEOLENS,RUTA GRAVEOLENS,https://pubchem.ncbi.nlm.nih.gov/substance/483935559,,,substance
RUTOSIDE,RUTOSIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5280805,153-18-4,"115888-40-9, 1416-01-9, 146525-66-8, 158560-09-9, 164535-43-7, 18449-50-8, 48197-72-4, 56764-99-9, 523994-24-3, 1296849-98-3, 115888-40-9, 1296849-98-3, 1416-01-9, 146525-66-8, 158560-09-9, 164535-43-7, 18449-50-8, 48197-72-4, 523994-24-3, 56764-99-9, 56764-99-9, 158560-09-9, 115888-40-9, 48197-72-4, 146525-66-8, 1296849-98-3, 523994-24-3, 18449-50-8, 164535-43-7",compound
RUXOLITINIB,RUXOLITINIB,https://pubchem.ncbi.nlm.nih.gov/compound/25126798,941678-49-5,1138325-12-8,compound
SACCHARIN,SACCHARIN,https://pubchem.ncbi.nlm.nih.gov/compound/5143,81-07-2,"126987-83-5, 474-91-9, 61255-27-4, 890126-34-8, 61255-27-4, 126987-83-5, 474-91-9, 890126-34-8",compound
SACCHAROMYCES_BOULARDII,SACCHAROMYCES BOULARDII,https://pubchem.ncbi.nlm.nih.gov/substance/483928085,,,substance
SACCHAROMYCES_CEREVISIAE,SACCHAROMYCES CEREVISIAE,https://pubchem.ncbi.nlm.nih.gov/compound/122121,554-62-1,,compound
SACROSIDASE,SACROSIDASE,https://pubchem.ncbi.nlm.nih.gov/substance/440791207,,,substance
SACUBITRIL,SACUBITRIL,https://pubchem.ncbi.nlm.nih.gov/compound/1153,556-03-6,,compound
SAFINAMIDE,SAFINAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/131682,133865-89-1,,compound
SALBUTAMOL,SALBUTAMOL,https://pubchem.ncbi.nlm.nih.gov/compound/2083,18559-94-9,35763-26-9,compound
SALCAPROZIC_ACID,SALCAPROZIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/158789,183990-46-7,,compound
SALCATONIN,SALCATONIN,https://pubchem.ncbi.nlm.nih.gov/compound/16220016,9007-12-9,,compound
SALICYLAMIDE,SALICYLAMIDE,https://pubchem.ncbi.nlm.nih.gov/compound/5147,65-45-2,,compound
SALICYLANILIDE,SALICYLANILIDE,https://pubchem.ncbi.nlm.nih.gov/compound/4477,50-65-7,,compound
SALICYLIC_ACID,SALICYLIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/996,108-95-2,"14534-23-7, 50356-25-7, 8002-07-1, 8002-07-1, 14534-23-7",compound
SALIX_ALBA,SALIX ALBA,https://pubchem.ncbi.nlm.nih.gov/substance/483930683,,,substance
SALIX_MATSUDANA,SALIX MATSUDANA,https://pubchem.ncbi.nlm.nih.gov/substance/482023056,,,substance
SALMETEROL,SALMETEROL,https://pubchem.ncbi.nlm.nih.gov/compound/5152,89365-50-4,,compound
SALMON,SALMON,https://pubchem.ncbi.nlm.nih.gov/compound/5355130,5466-77-3,"1202568-70-4, 155867-04-2",compound
SALSALATE,SALSALATE,https://pubchem.ncbi.nlm.nih.gov/compound/5161,552-94-3,2087491-28-7,compound
SALVIA_OFFICINALIS,SALVIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/13820510,,,compound
SALVIA_SCLAREA,SALVIA SCLAREA,https://pubchem.ncbi.nlm.nih.gov/substance/441077983,,,substance
SAMARIUM_(153SM)_LEXIDRONAM,SAMARIUM (153SM) LEXIDRONAM,https://pubchem.ncbi.nlm.nih.gov/compound/9810246,176669-18-4,,compound
SAMARIUM_(153_SM)_LEXIDRONAM,SAMARIUM (153 SM) LEXIDRONAM,https://pubchem.ncbi.nlm.nih.gov/compound/9810246,176669-18-4,,compound
SAMBUCUS_NIGRA,SAMBUCUS NIGRA,https://pubchem.ncbi.nlm.nih.gov/compound/131751786,,,compound
SANGUINARIA_CANADENSIS,SANGUINARIA CANADENSIS,https://pubchem.ncbi.nlm.nih.gov/substance/483924627,,,substance
SAPROPTERIN,SAPROPTERIN,https://pubchem.ncbi.nlm.nih.gov/compound/135398654,62989-33-7,"27070-47-9, 79493-88-2, 129443-84-1, 79493-88-2, 27070-47-9, 129443-84-1, 27070-47-9",compound
SAQUINAVIR,SAQUINAVIR,https://pubchem.ncbi.nlm.nih.gov/compound/441243,127779-20-8,131176-13-1,compound
SARECYCLINE,SARECYCLINE,https://pubchem.ncbi.nlm.nih.gov/compound/54681908,1035654-66-0,,compound
SARGRAMOSTIM,SARGRAMOSTIM,https://pubchem.ncbi.nlm.nih.gov/substance/440790931,,,substance
SARILUMAB,SARILUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/481101845,,,substance
SARRACENIA_PURPUREA,SARRACENIA PURPUREA,https://pubchem.ncbi.nlm.nih.gov/substance/482022090,,,substance
SASSAFRAS_OFFICINALE,SASSAFRAS OFFICINALE,https://pubchem.ncbi.nlm.nih.gov/substance/483930500,,,substance
SAXAGLIPTIN,SAXAGLIPTIN,https://pubchem.ncbi.nlm.nih.gov/compound/11243969,361442-04-8,,compound
SCARLET_RED,SCARLET RED,https://pubchem.ncbi.nlm.nih.gov/compound/17466,2611-82-7,"11138-24-2, 12000-58-7, 161628-34-8, 39470-82-1, 39471-00-6, 51811-48-4, 247151-36-6, 11138-24-2, 12000-58-7, 161628-34-8, 247151-36-6, 39470-82-1, 39471-00-6, 51811-48-4, 39470-82-1, 11138-24-2, 51811-48-4, 161628-34-8, 39471-00-6, 247151-36-6",compound
SCHISANDRA_CHINENSIS,SCHISANDRA CHINENSIS,https://pubchem.ncbi.nlm.nih.gov/compound/3001664,7432-28-2,,compound
SCHIZANDRA,SCHIZANDRA,https://pubchem.ncbi.nlm.nih.gov/substance/404771780,,,substance
SCHIZOCHYTRIUM,SCHIZOCHYTRIUM,https://pubchem.ncbi.nlm.nih.gov/substance/482021001,,,substance
SCHIZONEPETA,SCHIZONEPETA,https://pubchem.ncbi.nlm.nih.gov/substance/482026317,,,substance
SCHOENOCAULON_OFFICINALIS,SCHOENOCAULON OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/substance/482021542,,,substance
SCOPOLAMINE,SCOPOLAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/3000322,114-49-8,"58670-87-4, 14797-94-5, 97991-84-9, 65319-33-7, 28901-63-5, 226562-00-1, 226562-00-1, 58670-87-4, 28901-63-5, 97991-84-9, 65319-33-7",compound
SCOPOLAMINE_BUTYL_HYDROXIDE,SCOPOLAMINE BUTYL HYDROXIDE,https://pubchem.ncbi.nlm.nih.gov/substance/318160459,,,substance
SCOPOLAMINE_METHYL_HYDROXIDE,SCOPOLAMINE METHYL HYDROXIDE,,,,MISSING
SCROPHULARIA_NODOSA,SCROPHULARIA NODOSA,https://pubchem.ncbi.nlm.nih.gov/substance/483926285,,,substance
SCUTELLARIA,SCUTELLARIA,https://pubchem.ncbi.nlm.nih.gov/compound/156595888,,,compound
SEA_SALT,SEA SALT,https://pubchem.ncbi.nlm.nih.gov/compound/702,64-17-5,"121182-78-3, 8000-16-6, 8024-45-1, 8024-45-1, 8000-16-6",compound
SEA_WATER,SEA WATER,https://pubchem.ncbi.nlm.nih.gov/compound/702,64-17-5,"121182-78-3, 8000-16-6, 8024-45-1, 8024-45-1, 8000-16-6",compound
SEBELIPASE_ALFA,SEBELIPASE ALFA,https://pubchem.ncbi.nlm.nih.gov/substance/481101847,,,substance
SECBUTABARBITAL,SECBUTABARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/2479,125-40-6,97164-73-3,compound
SECNIDAZOLE,SECNIDAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/71815,3366-95-8,,compound
SECOBARBITAL,SECOBARBITAL,https://pubchem.ncbi.nlm.nih.gov/compound/5193,76-73-3,29071-21-4,compound
SECRETIN,SECRETIN,https://pubchem.ncbi.nlm.nih.gov/compound/16129665,1393-25-5,9002-77-1,compound
SECUKINUMAB,SECUKINUMAB,https://pubchem.ncbi.nlm.nih.gov/substance/469690928,,,substance
SELEGILINE,SELEGILINE,https://pubchem.ncbi.nlm.nih.gov/compound/10297,492-41-1,"134-60-1, 36393-57-4, 700-65-2",compound
SELENIC_ACID,SELENIC ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1089,7783-08-6,"141676-86-0, 63090-47-1, 1177580-12-9, 2225846-52-4, 1177580-12-9, 141676-86-0, 2225846-52-4, 63090-47-1, 63090-47-1",compound
SELENIOUS_ACID,SELENIOUS ACID,https://pubchem.ncbi.nlm.nih.gov/compound/1091,7783-00-8,"11140-60-6, 1408288-83-4, 2225846-51-3, 11140-60-6, 1408288-83-4, 2225846-51-3, 2771671-88-4, 1408288-83-4",compound
SELENIUM,SELENIUM,https://pubchem.ncbi.nlm.nih.gov/compound/1091,7783-00-8,"11140-60-6, 1408288-83-4, 2225846-51-3, 11140-60-6, 1408288-83-4, 2225846-51-3, 2771671-88-4, 1408288-83-4",compound
SELENOMETHIONINE,SELENOMETHIONINE,https://pubchem.ncbi.nlm.nih.gov/compound/15103,1464-42-2,2578-28-1,compound
SELENOMETHIONINE_(75SE),SELENOMETHIONINE (75SE),https://pubchem.ncbi.nlm.nih.gov/compound/15103,1464-42-2,2578-28-1,compound
SELEXIPAG,SELEXIPAG,https://pubchem.ncbi.nlm.nih.gov/compound/9913767,475086-01-2,,compound
SELINUM_MONNIERI,SELINUM MONNIERI,https://pubchem.ncbi.nlm.nih.gov/substance/482036902,,,substance
SEMAGLUTIDE,SEMAGLUTIDE,https://pubchem.ncbi.nlm.nih.gov/compound/56843331,910463-68-2,910463-93-3,compound
SENNA,SENNA,https://pubchem.ncbi.nlm.nih.gov/compound/73111,8013-11-4,26926-11-4,compound
SENNOSIDES_A&B,SENNOSIDES A&B,https://pubchem.ncbi.nlm.nih.gov/compound/73111,8013-11-4,26926-11-4,compound
SEPIA_OFFICINALIS,SEPIA OFFICINALIS,https://pubchem.ncbi.nlm.nih.gov/compound/6325610,8049-97-6,,compound
SERENOA_REPENS,SERENOA REPENS,https://pubchem.ncbi.nlm.nih.gov/substance/482022325,,,substance
SERINE,SERINE,https://pubchem.ncbi.nlm.nih.gov/compound/5951,56-45-1,"6898-95-9, 154605-73-9, 154605-73-9, 6898-95-9",compound
SERMORELIN,SERMORELIN,https://pubchem.ncbi.nlm.nih.gov/compound/16132413,86168-78-7,,compound
SEROTONIN,SEROTONIN,https://pubchem.ncbi.nlm.nih.gov/compound/5761,50-37-3,,compound
SERTACONAZOLE,SERTACONAZOLE,https://pubchem.ncbi.nlm.nih.gov/compound/65863,99592-32-2,,compound
SERTRALINE,SERTRALINE,https://pubchem.ncbi.nlm.nih.gov/compound/68617,79617-96-2,,compound
SESAMUM_ORIENTALE,SESAMUM ORIENTALE,https://pubchem.ncbi.nlm.nih.gov/substance/482022340,,,substance
SEVELAMER,SEVELAMER,https://pubchem.ncbi.nlm.nih.gov/compound/7835,106-89-8,"109351-74-8, 13403-37-7, 36250-81-4, 9009-12-5, 61630-87-3, 209008-81-1, 209008-82-2, 95522-44-4, 117277-19-7, 1286163-93-6, 95522-43-3, 2232867-15-9, 2480253-11-8, 36250-81-4, 109351-74-8, 13403-37-7",compound
SEVOFLURANE,SEVOFLURANE,,,,MISSING
SHARK_CARTILAGE,SHARK CARTILAGE,,,,MISSING
SIAM_BENZOIN,SIAM BENZOIN,https://pubchem.ncbi.nlm.nih.gov/compound/8400,119-53-9,"579-44-2, 9000-73-1, 91845-21-5",compound
SIBUTRAMINE,SIBUTRAMINE,https://pubchem.ncbi.nlm.nih.gov/compound/5210,106650-56-0,,compound
SILDENAFIL,SILDENAFIL,https://pubchem.ncbi.nlm.nih.gov/compound/795,288-32-4,"116421-26-2, 146117-15-9, 146117-15-9",compound
SILICONE_OIL,SILICONE OIL,https://pubchem.ncbi.nlm.nih.gov/compound/5461123,7440-21-3,"152284-21-4, 157383-37-4, 160371-18-6, 17375-03-0, 71536-23-7, 72516-01-9, 72516-02-0, 72516-03-1, 90337-93-2, 1616351-53-1, 152284-21-4, 157383-37-4, 160371-18-6, 1616351-53-1, 17375-03-0, 71536-23-7, 72516-01-9, 72516-02-0, 72516-03-1, 90337-93-2, 72516-02-0, 17375-03-0, 152284-21-4, 72516-03-1, 157383-37-4, 160371-18-6, 71536-23-7, 72516-01-9",compound
